Names,Answer,Series
elastic-band,made from rubber,1
puck,made from rubber,1
squash-ball,made from rubber,1
condom,made from rubber,1
screw,prison slang,1
grass,prison slang,1
snout,prison slang,1
lag,prison slang,1
santa,called nick,1
satan,called nick,1
bottom,called nick,1
dr-riviera,called nick,1
up,quarks,1
down,quarks,1
charm,quarks,1
strange,quarks,1
love,terms for zero,1
zip,terms for zero,1
goose-egg,terms for zero,1
duck,terms for zero,1
sparrow,fictional captains,1
hook,fictional captains,1
haddock,fictional captains,1
ahab,fictional captains,1
bullet,playing card nicknames,1
cowboy,playing card nicknames,1
deuce,playing card nicknames,1
crab,playing card nicknames,1
fox,flying,1
ace,flying,1
fish,flying,1
buttress,flying,1
may,english cricket captains,1
gower,english cricket captains,1
lamb,english cricket captains,1
fry,english cricket captains,1
cork,trees,1
ash,trees,1
lime,trees,1
willow,trees,1
carter,us presidential losers,1
dole,us presidential losers,1
gore,us presidential losers,1
bush,us presidential losers,1
galway,irish counties,1
mayo,irish counties,1
clare,irish counties,1
kerry,irish counties,1
tonic,water,1
heavy,water,1
bath,water,1
barley,water,1
major,chancellors of the exchequer,1
clarke,chancellors of the exchequer,1
darling,chancellors of the exchequer,1
brown,chancellors of the exchequer,1
marina,morris cars,1
minor,morris cars,1
oxford,morris cars,1
isis,morris cars,1
computer,pc,1
constable,pc,1
%,pc,1
postcard,pc,1
cork,irish counties,1
wexford,irish counties,1
longford,irish counties,1
clare,irish counties,1
martin,tv doctors,1
quinn,tv doctors,1
kildare,tv doctors,1
house,tv doctors,1
hazel,trees,1
quince,trees,1
rowan,trees,1
myrtle,trees,1
somerset,houses,1
opera,houses,1
wendy,houses,1
heartbreak,houses,1
rebus,fictional detectives,1
hammer,fictional detectives,1
wimsey,fictional detectives,1
spade,fictional detectives,1
monkey,puzzle,1
chinese,puzzle,1
jigsaw,puzzle,1
crossword,puzzle,1
terry,fabrics,1
drill,fabrics,1
wincey,fabrics,1
jersey,fabrics,1
trowel,tools,1
pick,tools,1
riddle,tools,1
wimble,tools,1
alderney,wombles,1
bulgaria,wombles,1
tobermory,wombles,1
orinoco,wombles,1
jersey,"""new"" us states",1
york,"""new"" us states",1
hampshire,"""new"" us states",1
mexico,"""new"" us states",1
glandular,types of fever,1
scarlet,types of fever,1
trench,types of fever,1
yellow,types of fever,1
tea,beef,1
wellington,beef,1
jerky,beef,1
stroganoff,beef,1
northern,london underground lines,1
district,london underground lines,1
circle,london underground lines,1
jubilee,london underground lines,1
western,horse riding styles,1
english,horse riding styles,1
bareback,horse riding styles,1
jumping,horse riding styles,1
southern,cross,1
maltese,cross,1
victoria,cross,1
red,cross,1
eastern,usa time zones,1
central,usa time zones,1
mountain,usa time zones,1
pacific,usa time zones,1
blanc,famous mels,1
brooks,famous mels,1
c,famous mels,1
smith,famous mels,1
screwdriver,household tools,1
hammer,household tools,1
gimlet,household tools,1
wrench,household tools,1
sidecar,cocktails,1
manhattan,cocktails,1
gibson,cocktails,1
margarita,cocktails,1
puzzle,monkey,1
business,monkey,1
nuts,monkey,1
suit,monkey,1
angel,cakes,1
fairy,cakes,1
marble,cakes,1
madeleine,cakes,1
spenser,poets,1
lawrence,poets,1
pope,poets,1
pound,poets,1
queen,fictional detectives,1
marlowe,fictional detectives,1
hammer,fictional detectives,1
holmes,fictional detectives,1
victoria,waterfalls,1
churchill,waterfalls,1
horseshoe,waterfalls,1
reichenbach,waterfalls,1
lambeth,thames bridges,1
queen-elizabeth-ii,thames bridges,1
millenium,thames bridges,1
london,thames bridges,1
spider,crabs,1
shore,crabs,1
fiddler,crabs,1
velvet,crabs,1
bell,blue,1
print,blue,1
stocking,blue,1
bottle,blue,1
chariot,tarot cards,1
moon,tarot cards,1
hermit,tarot cards,1
tower,tarot cards,1
dough,slang for money,1
lolly,slang for money,1
dosh,slang for money,1
readies,slang for money,1
crane,birds,1
swift,birds,1
turkey,birds,1
magpie,birds,1
passion,fruit,1
bread,fruit,1
kiwi,fruit,1
star,fruit,1
taxi,tv sitcoms,1
brass,tv sitcoms,1
bottom,tv sitcoms,1
porridge,tv sitcoms,1
coral,snakes,1
adder,snakes,1
sidewinder,snakes,1
grass,snakes,1
reeve,chaucer characters,1
cook,chaucer characters,1
knight,chaucer characters,1
miller,chaucer characters,1
cooney,playwrights,1
hare,playwrights,1
coward,playwrights,1
congreve,playwrights,1
